customer_id,Number_of_Orders
1269647,212
167631,211
301524,189
1268254,184
357161,182
1294857,171
387095,168
785080,160
1288527,160
540819,20
755178,20
208965,20
273371,20
1134322,20
1340964,20
16735,20
1347557,20
1311286,20
811982,20
1275245,20
260473,20
1287707,20
693024,20
1298716,20
1300395,20
98584,20
102619,20
304355,20
153968,20
71349,20
1339136,20
574029,20
577644,20
509635,20
1238278,20
6115,20
1142543,20
723564,20
161197,20
432625,20
43651,20
217699,20
476426,20
233601,20
195591,20
238995,19
47575,19
83330,19
1247819,19
189683,19
1238009,19
402188,19
364647,19
208560,19
1261606,19
154766,19
284324,19
1252942,19
1147378,19
188906,19
78346,19
21633,19
105311,19
351592,19
1191953,19
27088,19
473104,19
335126,19
37068,19
634584,19
1339671,19
20343,19
329752,19
1145913,19
1252374,19
646390,19
432218,19
1274687,19
1149655,19
723742,19
41036,19
1262012,19
396372,19
501767,19
1153490,19
332878,19
1263764,19
1083599,19
622397,19
1248811,19
496127,19
238968,19
383025,19
1114016,19
54935,19
7289,19
656256,19
1186807,19
166353,19
